JWL0179		ND	ND	ND	0.43	ND	ND	ND	1.24	ND	ND	0.26	ND	ND	3.13	ND	0.49	0.94	0.83	0.17	ND	ND	0.35	ND	1.13	13.77	ND	0.45	ND	ND	0.22	ND	ND	ND	0.71
JWL0180		ND	ND	ND	0.26	ND	ND	ND	1.32	ND	ND	0.13	ND	ND	3.41	ND	0.57	0.45	0.46	ND	ND	ND	0.94	ND	0.95	10.81	ND	0.41	ND	ND	0.43	0.14	ND	ND	0.75
JWL0181		ND	ND	ND	0.12	ND	ND	ND	0.43	ND	ND	0.07	ND	ND	ND	ND	0.36	0.12	0.34	0.08	ND	ND	0.10	ND	ND	4.95	ND	ND	ND	ND	ND	ND	ND	ND	0.37
JWL0185		1.03	ND	20.67	ND	ND	18.33	ND	ND	ND	ND	ND	ND	ND	12.13	ND	ND	ND	ND	ND	ND	ND	2.29	9.42	ND	30.27	ND	0.75	5.33	ND	1.03	ND	ND	ND	1.55
JWL0188		4.19	ND	37.60	ND	ND	12.21	2.28	22.02	10.84	ND	ND	ND	1.08	11.34	ND	ND	ND	25.06	ND	ND	ND	ND	ND	9.45	129.30	6.72	18.29	ND	ND	14.00	ND	ND	ND	ND
JWL0189		ND	0.17	0.35	0.22	ND	ND	ND	ND	ND	0.26	ND	ND	0.18	ND	ND	0.67	ND	ND	ND	ND	ND	ND	ND	ND	3.08	ND	0.04	ND	0.07	ND	ND	ND	0.19	ND
JWL0190		ND	ND	0.39	ND	ND	0.12	ND	ND	0.64	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.00	ND	0.03	ND	ND	ND	ND	ND	2.34	0.36
JWL0191		ND	ND	ND	0.69	ND	2.37	1.56	ND	ND	2.26	ND	1.02	1.99	ND	1.37	ND	ND	ND	ND	0.25	ND	ND	0.73	ND	ND	ND	ND	0.50	0.33	ND	ND	0.32	4.17	ND
																																			
Total Analytes	34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
