JWL0203		ND	ND	0.03	ND	ND	0.12	ND	ND	0.34	ND	ND	0.24	ND	ND	0.02	ND	0.47	ND	0.49	ND	0.04	0.90	ND	ND	ND	ND	ND	1.07	ND	ND	1.23	ND	1.42	ND	ND	ND	ND	ND	0.04	ND	0.16	ND	ND	ND	0.07	ND	0.92	0.03	0.27	ND	ND	ND	0.04	ND	0.24	ND	ND	0.13	0.20	0.02	ND	0.02	ND	ND	ND	ND	0.02	ND	ND	ND	ND	0.02	0.04	0.03	ND	ND	ND	ND
JWL0207		ND	0.04	ND	0.04	ND	0.37	0.03	ND	0.36	0.02	ND	0.25	ND	ND	ND	0.08	1.06	ND	0.79	ND	ND	1.57	ND	ND	ND	ND	0.27	1.21	ND	ND	1.50	ND	1.74	ND	ND	ND	ND	0.04	0.05	2.29	0.17	ND	ND	0.04	0.23	ND	ND	ND	0.50	ND	ND	ND	0.05	ND	0.40	ND	ND	ND	0.31	ND	0.02	ND	0.02	0.04	ND	ND	0.02	ND	ND	ND	ND	0.02	ND	ND	ND	ND	ND	0.05
JWL0208		ND	0.05	ND	0.05	ND	0.22	ND	ND	0.15	0.03	ND	0.23	ND	0.13	ND	ND	1.15	ND	0.76	ND	0.05	1.54	ND	ND	ND	ND	0.33	0.66	ND	ND	2.01	ND	1.79	ND	ND	ND	ND	ND	0.09	3.00	0.30	ND	ND	0.14	0.25	ND	0.89	ND	0.56	ND	ND	ND	0.07	ND	0.33	ND	ND	0.06	ND	ND	ND	0.03	ND	0.04	ND	ND	0.02	0.03	ND	ND	ND	0.03	ND	0.06	ND	ND	ND	0.04
JWL0209		ND	0.04	ND	ND	ND	0.12	ND	ND	0.11	0.02	ND	0.10	ND	0.05	0.02	ND	0.51	ND	0.30	ND	0.04	0.72	ND	0.03	ND	ND	0.12	0.35	ND	ND	1.13	ND	ND	ND	ND	ND	ND	0.02	0.05	ND	0.18	ND	ND	0.02	0.14	ND	0.67	ND	0.37	0.06	ND	ND	0.04	ND	0.29	ND	0.02	0.15	ND	ND	ND	ND	0.02	0.03	ND	ND	0.02	0.02	0.07	ND	ND	0.02	ND	0.03	ND	ND	ND	0.02
JWL0210		ND	ND	0.09	0.02	0.02	0.02	0.02	0.04	0.06	0.01	0.59	ND	ND	ND	ND	0.02	0.08	0.60	0.14	ND	0.07	0.11	10.80	0.13	0.03	0.03	0.08	0.16	0.33	0.12	0.06	ND	ND	ND	1.05	0.03	ND	0.02	ND	ND	ND	1.14	ND	ND	ND	0.02	0.27	ND	ND	ND	0.25	0.12	ND	0.02	ND	0.24	0.04	ND	ND	0.03	0.15	ND	ND	ND	0.03	0.02	ND	0.02	ND	0.03	0.06	ND	ND	ND	0.04	0.09	0.03	0.02
JWL0211		ND	ND	0.03	0.03	0.02	0.01	0.02	0.03	0.03	ND	0.44	ND	5.63	0.02	ND	0.03	0.03	0.75	0.09	2.52	0.04	ND	14.60	0.07	ND	0.04	0.06	ND	0.46	0.11	0.02	0.03	0.06	ND	0.43	0.04	0.10	ND	ND	ND	ND	9.01	0.03	ND	ND	0.07	0.58	ND	ND	0.06	0.23	0.16	ND	0.02	ND	0.28	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	ND	0.02	ND	ND	0.05	ND	ND	ND	0.04	0.08	0.05	ND
JWL0212		ND	0.07	0.03	0.03	ND	0.02	0.03	0.04	0.04	0.02	1.39	ND	5.80	0.03	ND	0.04	0.02	0.86	0.13	2.64	0.07	ND	14.47	0.05	0.03	0.04	0.07	0.08	0.31	0.16	0.02	ND	0.08	0.02	0.55	0.06	0.12	0.01	ND	ND	ND	1.44	0.02	ND	ND	0.03	0.89	0.04	ND	0.07	0.18	0.19	ND	0.02	ND	0.36	ND	ND	ND	ND	ND	0.02	0.15	ND	0.04	0.03	ND	0.02	ND	0.02	ND	0.02	0.02	0.02	0.07	0.11	0.06	0.16
JWL0216		0.01	ND	0.04	0.02	0.01	0.07	0.02	ND	0.07	ND	0.06	ND	6.16	0.02	ND	0.02	0.14	0.54	0.25	1.25	0.05	ND	8.51	0.07	0.02	0.03	0.08	0.18	0.37	0.03	0.04	0.05	0.15	0.02	0.29	0.02	ND	0.01	ND	1.76	ND	0.97	0.03	ND	ND	0.02	ND	0.03	ND	ND	0.17	0.19	ND	ND	ND	0.25	0.03	ND	0.25	0.02	ND	ND	ND	ND	0.02	0.01	ND	0.01	ND	0.02	0.07	ND	ND	ND	0.03	0.04	0.06	0.07
JWL0217		ND	0.04	ND	0.02	0.02	0.08	0.03	ND	0.11	0.02	0.80	0.04	10.05	0.05	ND	0.04	0.13	0.98	0.27	1.97	0.06	ND	13.57	0.05	0.03	0.05	0.16	0.20	0.64	0.07	0.07	0.08	0.20	0.03	0.53	0.05	0.10	ND	ND	2.99	ND	4.92	0.06	ND	ND	0.04	0.50	0.03	ND	ND	0.26	0.26	ND	ND	ND	0.49	0.05	ND	0.23	0.02	0.04	0.02	0.03	ND	0.05	0.03	ND	0.02	0.04	0.02	ND	0.02	ND	ND	ND	0.12	ND	0.03
JWL0218		0.02	0.05	0.03	ND	0.04	ND	0.03	0.06	ND	ND	1.23	ND	15.37	0.06	ND	0.04	0.05	2.29	0.25	ND	0.07	ND	ND	0.08	0.07	0.08	0.07	0.12	5.96	0.11	ND	0.08	0.11	0.03	0.63	0.08	0.16	ND	ND	2.87	ND	1.57	0.05	0.02	ND	0.35	0.45	0.03	ND	ND	0.48	0.22	ND	0.10	ND	1.47	0.03	ND	ND	ND	0.11	ND	ND	ND	ND	0.05	ND	0.02	0.07	0.02	ND	0.02	ND	ND	ND	0.17	0.31	0.06
																																																																															
Total Analytes	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
