JWL0203		1.46	ND	0.03	0.05	0.06	18.33	0.94	ND	0.39	ND	0.14	1.63	ND	0.14	7.34	13.07	ND	0.12	57.07	0.14	0.07	0.57	9.10	0.38	1.82	43.04	1.70	0.48	ND	ND	0.47	0.02	0.33	ND	0.17	0.14	1.22	14.69	2.07	4.00	0.04	10.83	ND	ND	ND	ND	ND
JWL0207		0.29	0.17	0.01	0.01	0.17	6.65	0.16	0.05	0.14	ND	0.03	1.35	0.17	ND	4.84	2.65	0.52	0.04	32.05	0.37	0.05	0.41	7.76	0.62	1.63	40.89	2.55	1.28	ND	ND	ND	0.02	0.82	ND	0.08	0.06	2.43	10.30	2.50	8.61	0.13	12.02	ND	0.02	ND	ND	0.03
JWL0208		0.39	0.24	0.03	0.01	0.26	8.29	0.36	0.07	0.17	0.02	0.05	1.64	0.23	ND	6.09	5.21	0.80	0.09	34.39	0.61	0.05	0.73	14.14	1.34	2.12	53.76	3.57	1.49	ND	ND	0.43	0.03	1.81	0.24	0.08	0.08	4.84	10.78	3.35	12.47	0.24	13.21	ND	0.02	ND	ND	0.02
JWL0209		0.32	0.16	0.01	0.01	0.16	7.26	0.17	0.04	0.17	0.02	0.04	1.39	0.19	0.18	4.58	2.76	0.54	0.04	32.04	0.35	0.05	0.37	8.54	0.62	1.87	35.83	2.94	1.05	ND	ND	0.34	0.02	0.74	0.13	0.06	0.05	2.48	8.89	2.23	7.68	0.14	9.69	0.02	0.02	ND	0.04	ND
JWL0210		0.91	ND	0.03	0.01	0.01	1.42	0.92	ND	ND	ND	0.01	0.13	ND	ND	0.38	1.33	0.08	0.16	4.71	0.03	ND	0.03	1.72	0.20	0.16	2.90	0.57	ND	0.04	0.00	0.13	ND	0.05	ND	ND	ND	0.41	0.53	ND	0.30	ND	0.32	0.11	ND	0.01	ND	0.03
JWL0211		0.88	ND	0.03	ND	0.01	1.66	0.86	ND	ND	0.01	0.01	0.17	ND	0.12	0.47	1.42	0.09	0.15	5.67	0.05	ND	0.03	2.20	0.22	0.20	3.08	0.67	0.12	ND	ND	0.29	ND	0.06	ND	ND	ND	0.52	0.60	ND	0.40	ND	0.30	0.04	ND	ND	ND	ND
JWL0212		1.13	ND	0.04	0.01	0.01	2.15	1.12	ND	ND	ND	0.02	0.19	ND	0.14	0.57	1.84	0.10	0.17	6.27	0.05	ND	0.04	2.54	0.26	0.23	3.59	0.82	ND	0.06	0.02	0.46	ND	0.10	ND	ND	ND	0.62	0.72	ND	0.49	ND	0.49	0.13	ND	0.01	ND	0.03
JWL0216		0.16	0.08	0.01	ND	0.07	3.46	0.15	0.02	0.04	0.01	0.01	0.45	ND	ND	1.60	2.41	0.23	0.05	10.38	0.21	0.01	0.11	3.74	0.45	0.39	7.87	0.97	0.28	ND	ND	ND	ND	0.20	ND	ND	ND	1.11	1.27	0.23	1.33	ND	0.84	0.03	ND	0.02	ND	0.03
JWL0217		0.20	0.11	0.01	0.01	0.08	3.89	0.19	0.03	0.06	0.01	0.02	0.56	0.06	ND	1.89	2.84	0.31	0.06	12.35	0.26	0.02	0.13	4.90	0.62	0.48	10.26	1.38	0.37	ND	ND	ND	ND	0.27	ND	ND	ND	1.47	1.75	0.36	1.85	ND	1.39	0.06	ND	0.04	0.02	0.03
JWL0218		0.12	0.11	0.02	ND	0.06	2.86	0.15	0.04	0.06	ND	0.02	0.40	0.05	ND	1.39	2.97	0.23	0.07	7.14	0.25	ND	0.10	4.32	0.58	0.34	7.57	1.05	0.36	ND	ND	ND	ND	0.18	ND	ND	ND	1.11	0.99	0.18	0.98	ND	0.68	0.15	ND	0.02	0.04	0.02
																																																
Total Analytes	47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	36	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
