JWL0176		0.26	ND	ND	1.23	ND	ND	0.21	0.41	ND	ND	ND	0.24	ND	1.12	ND	ND	1.01	1.19	ND	0.38	0.62	8.45	1.74	5.12	1.08	ND	2.28	0.16	0.21	0.51	0.62	0.30	ND
JWL0177		0.15	ND	0.11	0.67	0.90	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.15	ND	ND	0.69	0.15	0.19	0.16	ND	ND	ND	ND	ND	ND
JWL0178		0.44	ND	0.65	ND	3.52	4.18	ND	ND	ND	ND	ND	ND	ND	0.38	ND	ND	0.35	0.36	ND	ND	1.35	ND	ND	1.81	0.42	ND	0.82	ND	ND	ND	ND	ND	ND
JWL0179		0.21	0.09	ND	1.21	ND	ND	0.20	0.32	ND	2.03	ND	0.33	ND	0.77	0.20	ND	2.45	0.94	0.34	0.26	2.35	4.84	ND	4.06	ND	ND	1.82	0.15	0.17	0.34	0.14	0.18	ND
JWL0180		ND	ND	0.38	ND	0.54	5.67	0.19	0.31	0.65	3.12	13.73	0.22	ND	0.88	ND	ND	0.83	0.76	ND	ND	3.06	2.23	0.51	9.44	3.17	ND	1.73	0.34	0.22	0.43	ND	0.33	ND
JWL0181		0.07	ND	0.07	ND	1.32	ND	0.06	0.10	ND	0.51	ND	0.20	ND	0.28	ND	ND	0.38	0.78	0.04	0.06	0.69	ND	ND	ND	ND	ND	0.76	ND	0.05	0.11	0.45	0.07	ND
JWL0185		0.26	ND	ND	2.10	5.57	6.95	ND	0.20	0.15	1.64	7.65	0.15	ND	0.77	ND	ND	1.56	0.98	ND	0.19	2.12	5.53	1.31	5.54	1.24	ND	2.35	ND	0.14	0.29	0.41	0.21	ND
JWL0188		0.51	ND	0.58	1.38	ND	ND	0.21	0.22	0.35	ND	ND	0.42	0.13	2.51	0.46	ND	0.90	1.40	ND	0.51	1.55	5.81	ND	4.39	0.95	0.19	2.79	0.19	0.15	0.34	0.14	0.39	ND
JWL0189		0.15	0.27	ND	ND	ND	ND	ND	ND	1.26	ND	ND	0.15	ND	ND	ND	ND	ND	0.12	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
JWL0190		0.29	1.14	ND	2.79	ND	ND	ND	0.48	ND	2.11	ND	0.63	ND	1.23	ND	ND	1.52	4.00	ND	ND	0.54	ND	ND	1.86	ND	0.56	2.18	ND	ND	0.50	0.29	ND	ND
JWL0191		0.43	2.89	ND	ND	3.62	ND	0.40	ND	0.46	ND	0.76	0.61	0.80	1.74	ND	1.32	1.72	0.85	ND	ND	3.47	ND	ND	9.95	2.10	ND	0.80	ND	ND	1.15	ND	ND	1.06
																																		
Total Analytes	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
