JWL0170		ND	4.07	1.61	15.62	6.00	0.31	0.17	0.87	1.41	0.08	0.06	0.56	35.12	1.06	0.19	0.06	ND	0.04	0.40	ND	1.72	0.42	ND	0.30	0.66	4.48	ND	0.19	ND
JWL0171		ND	0.78	0.47	2.93	1.28	ND	ND	ND	ND	ND	ND	ND	4.91	0.12	ND	ND	ND	ND	ND	ND	0.45	ND	ND	ND	ND	ND	0.44	ND	ND
JWL0172		ND	1.12	0.72	5.28	1.07	0.08	0.10	0.27	0.19	ND	ND	0.27	6.73	0.38	0.17	0.12	ND	ND	0.08	0.09	0.58	0.09	ND	0.09	0.07	3.22	ND	0.06	0.04
JWL0173		ND	1.00	0.56	7.51	0.66	ND	0.09	0.20	ND	ND	ND	0.14	5.06	0.22	0.07	ND	0.06	ND	0.05	ND	0.94	0.13	0.05	0.08	0.05	1.03	0.07	ND	ND
JWL0174		0.11	1.57	0.91	11.32	1.64	ND	0.07	0.25	0.23	ND	0.06	0.26	15.58	0.26	0.12	0.08	ND	ND	0.13	ND	1.32	0.24	ND	0.10	0.81	4.46	ND	0.52	0.20
JWL0175		ND	1.19	0.77	17.12	1.03	0.07	0.21	0.36	0.44	0.04	0.08	0.59	23.75	0.40	0.11	0.03	ND	0.06	0.51	ND	4.70	0.72	ND	0.15	0.46	1.68	ND	1.33	0.04
JWL0176		0.12	10.94	2.77	22.09	4.42	0.46	0.90	2.22	1.94	ND	0.26	1.36	57.42	2.51	0.27	0.04	0.15	0.06	1.23	ND	5.39	2.82	0.27	1.37	2.78	10.26	0.15	1.36	0.48
JWL0177		0.04	2.16	0.40	4.50	1.36	ND	0.30	0.49	0.38	ND	ND	0.55	16.65	0.48	0.06	ND	0.04	0.05	0.31	ND	1.42	0.87	0.10	0.42	0.45	0.89	ND	0.30	0.05
JWL0178		ND	7.91	2.25	19.41	6.72	0.30	0.57	2.27	2.18	ND	0.32	1.09	53.14	1.73	0.21	ND	ND	ND	1.36	ND	3.52	2.10	ND	1.13	0.98	3.10	ND	0.81	ND
JWL0179		0.04	5.22	1.31	14.23	1.65	ND	0.18	1.04	0.85	ND	0.08	0.54	31.65	1.04	0.09	ND	ND	ND	0.47	ND	1.50	0.87	ND	0.43	0.70	2.59	ND	0.27	0.07
JWL0180		ND	5.12	0.78	9.09	1.17	ND	0.26	0.74	0.45	ND	ND	0.86	26.80	0.71	0.07	ND	0.03	0.04	0.35	ND	1.97	1.08	0.04	0.51	0.51	2.42	0.04	0.26	0.04
JWL0181		ND	1.66	0.40	4.25	0.45	ND	0.05	0.30	0.20	ND	ND	0.22	9.91	0.33	0.03	ND	ND	ND	0.12	ND	0.59	0.23	ND	0.11	0.20	0.87	ND	0.19	0.02
JWL0185		ND	4.54	1.03	12.08	1.41	0.08	0.25	0.98	0.53	ND	0.09	0.72	26.77	0.61	0.07	ND	ND	ND	0.39	ND	2.09	0.63	ND	0.25	0.69	2.24	0.05	0.57	ND
JWL0188		ND	4.84	1.11	11.96	1.43	0.16	0.46	1.05	0.67	ND	0.09	0.62	28.21	0.78	0.07	ND	ND	ND	0.57	ND	2.52	1.12	0.06	0.41	0.76	2.33	ND	0.41	0.08
JWL0189		0.07	3.53	3.80	17.46	1.05	0.27	0.29	1.38	0.91	0.10	0.16	1.97	4.81	0.75	0.10	ND	0.16	ND	0.24	1.26	0.17	0.19	0.27	0.07	ND	0.37	ND	ND	ND
JWL0190		ND	0.82	0.53	4.09	0.22	ND	ND	0.21	0.20	ND	ND	0.18	3.41	0.12	ND	ND	ND	ND	0.13	ND	0.31	0.10	ND	ND	0.15	0.96	ND	ND	ND
JWL0191		1.60	228.96	17.69	136.28	61.02	4.43	12.84	9.79	6.77	0.55	0.79	6.39	181.87	29.25	12.70	7.79	0.64	0.57	0.48	3.88	9.29	4.32	1.51	3.02	6.55	99.09	ND	10.37	2.17
																														
Total Analytes	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
