JWL0203		ND	0.04	ND	ND	ND	0.03	ND	ND	ND	ND	0.05	16.96	ND	ND	0.04	ND	ND	ND	ND	ND	0.06	ND	ND	ND	ND	ND	0.02	ND	0.03	ND	ND	ND	ND	ND	ND	0.41	0.04	ND	0.10	ND	0.02	ND	ND	0.02	ND	ND	ND	ND	ND	0.05	ND	ND	0.08	ND	0.22	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	0.02	ND	0.03	0.05	ND
JWL0207		0.01	0.03	ND	0.02	0.03	ND	0.02	ND	0.02	ND	ND	14.09	ND	ND	ND	ND	0.05	0.05	0.05	0.07	ND	ND	0.03	0.02	0.08	0.03	0.02	0.03	0.01	ND	0.07	0.05	0.08	ND	ND	ND	0.09	ND	0.03	0.03	ND	0.03	ND	0.04	0.02	0.02	ND	0.45	ND	0.02	0.03	ND	0.02	ND	ND	0.12	ND	0.05	0.07	0.03	0.02	0.07	ND	0.05	0.03	ND	ND	0.02	0.02	0.02
JWL0208		0.05	0.03	ND	0.02	ND	ND	0.03	ND	0.04	ND	ND	16.58	ND	ND	ND	ND	0.06	0.07	0.09	0.06	ND	0.09	ND	ND	0.08	0.09	ND	0.03	ND	0.05	0.08	0.04	0.09	ND	0.10	ND	ND	ND	0.06	0.04	ND	0.04	ND	0.05	0.02	0.04	ND	ND	ND	0.03	0.05	ND	0.08	0.02	0.14	ND	ND	0.05	0.07	0.04	0.06	ND	ND	ND	ND	ND	ND	0.04	0.05	ND
JWL0209		ND	ND	ND	ND	ND	ND	ND	ND	0.02	ND	ND	ND	0.02	ND	ND	ND	ND	ND	0.03	ND	0.03	ND	ND	ND	ND	0.05	0.02	ND	0.03	ND	ND	0.05	ND	0.02	ND	0.32	ND	ND	0.06	ND	0.02	0.02	ND	0.02	0.01	0.03	ND	0.64	0.75	0.02	ND	ND	0.05	ND	0.13	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.02	0.01	ND	0.03	0.03	ND
JWL0210		ND	ND	0.03	ND	ND	0.02	ND	0.05	ND	ND	0.02	ND	ND	0.02	0.05	0.08	0.01	0.05	ND	0.04	ND	0.06	ND	0.01	ND	ND	0.02	ND	ND	0.03	ND	0.02	ND	ND	0.07	0.78	ND	ND	ND	ND	ND	0.02	0.05	ND	ND	0.02	0.03	0.67	0.74	0.03	ND	0.01	ND	0.02	ND	ND	0.07	0.05	0.02	ND	ND	0.08	0.14	ND	ND	0.02	0.02	ND	ND	ND
JWL0211		0.02	0.01	ND	ND	0.02	0.03	ND	ND	0.01	0.24	0.02	ND	0.02	0.02	ND	0.03	0.02	ND	ND	0.06	ND	ND	0.05	0.03	ND	0.01	0.02	0.03	0.01	ND	ND	0.03	ND	ND	ND	0.34	ND	0.02	ND	ND	0.09	0.03	ND	ND	ND	0.03	0.03	0.46	0.82	0.02	0.02	0.01	ND	0.01	ND	ND	0.07	ND	0.02	0.02	ND	ND	0.12	0.03	0.01	0.02	0.02	ND	ND	ND
JWL0212		ND	0.02	0.01	ND	ND	0.02	ND	0.07	ND	0.30	0.04	ND	0.02	0.03	0.06	0.03	ND	0.10	ND	0.05	ND	0.05	ND	0.04	0.10	ND	0.02	0.03	0.01	0.04	ND	ND	0.09	ND	0.05	0.33	ND	0.03	ND	ND	ND	0.04	0.05	ND	ND	0.03	0.03	ND	0.73	0.03	0.05	0.03	ND	0.04	ND	0.11	0.08	0.04	0.03	0.02	ND	0.09	ND	0.04	0.02	0.01	0.04	ND	ND	0.02
JWL0216		0.03	0.01	ND	ND	ND	ND	0.01	ND	0.03	0.19	ND	ND	ND	0.01	ND	ND	0.02	0.04	ND	0.07	ND	ND	ND	ND	ND	ND	0.03	ND	ND	0.03	ND	0.05	ND	0.02	ND	0.34	ND	ND	ND	ND	ND	ND	0.03	ND	ND	0.04	0.04	0.42	1.05	ND	ND	ND	ND	ND	ND	ND	0.02	0.02	0.02	0.01	ND	0.05	0.15	0.01	0.02	ND	ND	ND	ND	0.03
JWL0217		0.03	ND	ND	0.02	0.02	ND	0.02	0.06	0.03	0.23	ND	ND	0.02	0.02	ND	0.03	0.04	0.10	0.03	0.07	ND	ND	0.05	ND	0.06	ND	ND	ND	ND	0.03	ND	0.04	0.08	0.04	0.09	ND	0.07	0.02	ND	ND	ND	ND	0.03	ND	0.01	0.05	ND	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	0.05	0.02	ND	ND	ND	0.20	ND	0.02	ND	0.03	ND	ND	0.02
JWL0218		ND	0.02	0.05	0.02	0.05	ND	0.02	0.06	0.03	ND	0.07	ND	ND	0.03	0.09	0.03	0.04	ND	ND	0.07	ND	ND	0.09	ND	0.07	ND	0.06	ND	ND	0.03	ND	0.09	0.07	0.02	0.07	0.25	0.04	0.02	ND	0.16	ND	ND	ND	ND	ND	0.03	ND	ND	ND	ND	ND	0.05	ND	ND	ND	0.09	ND	0.07	0.03	ND	ND	0.08	0.15	ND	ND	ND	ND	ND	ND	0.01
																																																																							
Total Analytes	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total MS2 Confirmed	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
